timestamp	timestamp_density	decay	a	c
1705074061033	1705072791	0.2433877959319773	0.4102998736426798	0.5958005873851377
1705076796365	1705076144	0.1100233411137045	0.4388286960919285	0.6587456628241952
1705164940479	1705163925	0.4434344781593864	0.2194997498225362	0.6941342922227491
1705168243495	1705167726	0.4767755918639546	0.0939417279968018	0.7446988103831347
1705180936343	1705180536	0.3434111370456819	0.070190491977146	0.7162660981689167
1705262349261	1705260856	0.2767289096365455	0.2511761267143593	0.6609558004340428
1705268954407	1705267468	0.1100233411137045	0.3024092278332852	0.7502579070174074
1705272255894	1705271475	0.1767055685228409	0.1058441762213883	0.8034864114902986
1705356920082	1705353794	0.5101167055685228	0.2732324685311056	0.737031343174125
1705356920082	1705356579	0.4767755918639546	0.2267450079309427	0.6544179898497666
1705364671663	1705360506	0.4434344781593864	0.2869802315677368	0.556209905132774
1705364671663	1705363414	0.3434111370456819	0.250642564935096	0.6355317248858511
1705074061033	1705072791	0.24338779593197732	0.41029987364267984	0.5958005873851377
1705076796365	1705076144	0.11002334111370456	0.4388286960919285	0.6587456628241952
1705164940479	1705163925	0.4434344781593864	0.21949974982253628	0.6941342922227491
1705168243495	1705167726	0.47677559186395463	0.09394172799680187	0.7446988103831347
1705180936343	1705180536	0.3434111370456819	0.07019049197714602	0.7162660981689167
1705262349261	1705260856	0.2767289096365455	0.2511761267143593	0.6609558004340428
1705268954407	1705267468	0.11002334111370456	0.3024092278332852	0.7502579070174074
1705272255894	1705271475	0.17670556852284094	0.10584417622138834	0.8034864114902986
1705356920082	1705353794	0.5101167055685228	0.2732324685311056	0.737031343174125
1705356920082	1705356579	0.47677559186395463	0.22674500793094277	0.6544179898497666
1705364671663	1705360506	0.4434344781593864	0.2869802315677368	0.556209905132774
1705364671663	1705363414	0.3434111370456819	0.250642564935096	0.6355317248858511
1705379075888	1705375503	0.7101633877959319	0.08663388367845228	0.6459843736032493
1705442120160	1705440135	0.4434344781593864	0.15644881144405304	0.772822255796429
1705442120160	1705437597	0.543457819273091	0.26394125612108066	0.6499472576509838
1705449324601	1705448673	0.3434111370456819	0.18861348641349876	0.7416085136666977
1705456527352	1705451719	0.3767522507502501	0.2582093193893872	0.6942167753652317
1705496790339	1705495187	0.2767289096365455	0.20018508344081815	0.715434279091998
1705496790339	1705492398	0.3434111370456819	0.1115517374638789	0.7282096420210977
1705504827675	1705503555	0.24338779593197732	0.29514957814570314	0.7490517934311995
1705504827675	1705501421	0.17670556852284094	0.48392373165618496	0.5528203634432662
1705507593654	1705506762	0.2767289096365455	0.2636713508062343	0.7059635216245793
1705665915476	1705655849	0.3434111370456819	0.26376429464308404	0.7075283599532378
1705789717468	1705784846	0.3767522507502501	0.33755702849637204	0.3198051583853725
1705855645156	1705855340	0.2767289096365455	0.1449865036195955	0.7028065039976441
1705855645156	1705851520	0.2767289096365455	0.2592201656079545	0.5049750213366235
1705916299647	1705911223	0.2767289096365455	0.38724130340298124	0.5493478605551445
1705916299647	1705914077	0.3434111370456819	0.25431566890875457	0.5648530976942872
1705925395390	1705919196	0.17670556852284094	0.30733409661297406	0.7037647212803586
1705930483445	1705928979	0.24338779593197732	0.28621366382669916	0.5986760374491564
1705960026847	1705955312	0.14336445481827276	0.7839901792483481	0.4677234239365031
1705960026847	1705957500	0.31007002334111367	0.37983535874377566	0.546944700942582
1705960026847	1705959717	0.47677559186395463	0.16099870048478082	0.6317487513411171
1706027368287	1706024595	0.41009336445481825	0.31116189932184934	0.6585555552953235
1706035494885	1706031200	0.31007002334111367	0.3095021470678243	0.6606960290266728
1706042497437	1706041276	0.2767289096365455	0.5635914051772926	0.4457598276269137
1706042497437	1706039010	0.47677559186395463	0.1604459981271573	0.6335986936806648
1706049500277	1706044313	0.24338779593197732	0.47456217853538	0.46081321257186725
1706049500277	1706046747	0.3434111370456819	0.18115033170348044	0.6835185000924497
1706055937871	1706052506	0.3434111370456819	0.18932532709816718	0.637762117126342
